日,ニチ;ジツ,ひ;-び;-か,day;sun;Japan;counterfordays
使,シ,つか.う;つか.い;-つか.い;-づか.い,use;sendonamission;order;messenger;envoy;ambassador;cause
品,ヒン;ホン,しな,goods;refinement;dignity;article;counterformealcourses
死,シ,し.ぬ;し.に-,death;die
始,シ,はじ.める;-はじ.める;はじ.まる,commence;begin
楽,ガク;ラク;ゴウ,たの.しい;たの.しむ;この.む,music;comfort;ease
運,ウン,はこ.ぶ,carry;luck;destiny;fate;lot;transport;progress;advance
少,ショウ,すく.ない;すこ.し,few;little
終,シュウ,お.わる;-お.わる;おわ.る;お.える;つい;つい.に,end;finish
花,カ;ケ,はな,flower
住,ジュウ;ヂュウ;チュウ,す.む;す.まう;-ず.まい,dwell;reside;live;inhabit
親,シン,おや;おや-;した.しい;した.しむ,parent;intimacy;relative;familiarity;dealer(cards)
真,シン,ま;ま-;まこと,true;reality;Buddhistsect
有,ユウ;ウ,あ.る,possess;have;exist;happen;occur;approx
別,ベツ,わか.れる;わ.ける,separate;branchoff;diverge;fork;another;extra;specially
夕,セキ,ゆう,evening
急,キュウ,いそ.ぐ;いそ.ぎ;せ.く,hurry;emergency;sudden;steep
送,ソウ,おく.る,escort;send
特,トク,,special
答,トウ,こた.える;こた.え,solution;answer
夜,ヤ,よ;よる,night;evening
転,テン,ころ.がる;ころ.げる;ころ.がす;ころ.ぶ;まろ.ぶ;うたた;うつ.る;くる.めく,revolve;turnaround;change
店,テン,みせ;たな,store;shop
帰,キ,かえ.る;かえ.す;おく.る;とつ.ぐ,homecoming;arriveat;leadto;resultin
研,ケン,と.ぐ,polish;studyof;sharpen
歌,カ,うた;うた.う,song;sing
図,ズ;ト,え;はか.る,map;drawing;plan;extraordinary;audacious
室,シツ,むろ,room;apartment;chamber;greenhouse;cellar
究,キュウ;ク,きわ.める,research;study
歩,ホ;ブ;フ,ある.く;あゆ.む,walk;counterforsteps
風,フウ;フ,かぜ;かざ-;-かぜ,wind;air;style;manner
紙,シ,かみ,paper
起,キ,お.きる;お.こる;お.こす;おこ.す;た.つ,rouse;wakeup;getup
着,チャク;ジャク,き.る;-ぎ;き.せる;-き.せ;つ.く;つ.ける,don;arrive;wear;counterforsuitsofclothing
黒,コク,くろ;くろ.ずむ;くろ.い,black
病,ビョウ;ヘイ,や.む;-や.み;やまい,ill;sick
春,シュン,はる,springtime;spring(season)
待,タイ,ま.つ;-ま.ち,wait;dependon
族,ゾク,,tribe;family
料,リョウ,,fee;materials
銀,ギン,しろがね,silver
建,ケン;コン,た.てる;た.て;-だ.て;た.つ,build
色,ショク;シキ,いろ,color
走,ソウ,はし.る,run
秋,シュウ,あき;とき,autumn
医,イ,い.やす;い.する;くすし,doctor;medicine
仕,シ;ジ,つか.える,attend;doing;official;serve
夏,カ;ガ;ゲ,なつ,summer
去,キョ;コ,さ.る;-さ.る,gone;past;quit;leave;elapse;eliminate;divorce
味,ミ,あじ;あじ.わう,flavor;taste
犬,ケン,いぬ;いぬ-,dog
古,コ,ふる.い;ふる-;-ふる.す,old
写,シャ;ジャ,うつ.す;うつ.る;うつ-;うつ.し,copy;bephotographed;describe
買,バイ,か.う,buy
週,シュウ,,week
私,シ,わたくし;わたし,private;I;me
注,チュウ,そそ.ぐ;さ.す;つ.ぐ,pour;irrigate;shed(tears);flowinto;concentrateon;notes;comment;annotate
試,シ,こころ.みる;ため.す,test;try;attempt;experiment;ordeal
悪,アク;オ,わる.い;わる-;あ.し;にく.い;-にく.い;ああ;いずくに;いずくんぞ;にく.む,bad;vice;rascal;false;evil;wrong
験,ケン;ゲン,あかし;しるし;ため.す;ためし,verification;effect;testing
英,エイ,はなぶさ,England;English;hero;outstanding;calyx
館,カン,やかた;たて,building;mansion;largebuilding;palace
屋,オク,や,roof;house;shop;dealer;seller
曜,ヨウ,,weekday
質,シツ;シチ;チ,たち;ただ.す;もと;わりふ,substance;quality;matter;temperament
肉,ニク,しし,meat
鳥,チョウ,とり,bird;chicken
習,シュウ;ジュ,なら.う;なら.い,learn
冬,トウ,ふゆ,winter
昼,チュウ,ひる,daytime;noon
茶,チャ;サ,,tea
洋,ヨウ,,ocean;sea;foreign;Westernstyle
弟,テイ;ダイ;デ,おとうと,youngerbrother;faithfulservicetoelders
旅,リョ,たび,trip;travel
牛,ギュウ,うし,cow
映,エイ,うつ.る;うつ.す;は.える;-ば.え,reflect;reflection;projection
兄,ケイ;キョウ,あに,elderbrother;bigbrother
服,フク,,clothing;admit;obey;discharge
妹,マイ,いもうと,youngersister
駅,エキ,,station
姉,シ,あね;はは,eldersister
勉,ベン,つと.める,exertion;endeavour;encourage;strive;makeeffort;diligent
魚,ギョ,うお;さかな;-ざかな,fish
借,シャク,か.りる,borrow;rent
飲,イン;オン,の.む;-の.み,drink;smoke;take
堂,ドウ,,publicchamber;hall
飯,ハン,めし,meal;boiledrice
漢,カン,,Sino-;China
貸,タイ,か.す;か.し-;かし-,lend
